188,A Nonlocal Spatial Coherent Fuzzy C-means Clustering for Bias Field Correction in Brain MR Images,S8,Pranaba K Mishro,"Mishro, Pranaba K*; Agrawal, Sanjay; Panda, Rutuparna"
191,Automatic On-Road Object Detection in LiDAR-Point Cloud Data using Modified VoxelNet Architecture,S3,md meraz,"meraz, md*; Javed, Dr. Mohammed"
194,Securing Biometric Data over Cloud via Shamir's Secret Sharing,S1,Debanjan Sadhya,"RAJ, NISHANT; Sadhya, Debanjan*"
196,On the Performance of Convolutional Neural Networks under High and Low Frequency Information,S4,Shiv Ram Dubey,"Reddy, Roshan; Dubey, Shiv Ram*"
198,A Lightweight Multi-Label Image Classification Model Based on Inception Module,S9,Shreya Jain,"Jain, Shreya*; Thakur, Poornima S; Bharti, Kusum Kumari; Khanna, Pritee; ojha, Dr.Aparajita"
205,Computer Vision based Animal Collision Avoidance Framework for Autonomous Vehicles,S3,Savyasachi Gupta,"Gupta, Savyasachi*; Chand, Dhananjai; Kavati, Ilaiah"
206,Age and Gender Prediction using Deep CNNs and Transfer Learning,S2,Shreyansh Joshi,"Sheoran, Vikas; Joshi, Shreyansh*; Bhayani, Tanisha"
207,DarkGAN: Night Image Enhancement using Generative Adversarial Networks,S4,Prasen Alaspure,"Alaspure, Prasen *; Hambarde, Praful; Dudhane, Akshay A; Murala, Subrahmanyam"
209,Text Line Segmentation: A FCN based approach,S7,Arpan Garai,"Minj, Annie; Garai, Arpan*; Mandal, Sekhar"
212,Precise Recognition of Vision based Multi-Hand Signs using Deep Single Stage Convolutional Neural Network,S5,RUBIN BOSE S,"BOSE S, RUBIN*; Kumar V, Sathiesh"
213,Cancelable Biometric Template Generation using Convolutional Autoencoder,S1,Gourav Siddhad,"Siddhad, Gourav*; Khanna, Pritee; ojha, Dr.Aparajita"
216,A Novel method for Cephalometric Landmark Regression using Convolutional Neural Networks and Local Binary Pattern,S8,Rashmi S,"S, Rashmi*; Ashok, Vani"
219,MULTI-CLASS GLIOMA CLASSIFICATION FROM MRI IMAGES USING 3D CONVOLUTIONAL NEURAL NETWORKS,S8,Subin Sahayam,"Sahayam, Subin*; Jayaraman, Dr.Umarani; Teja, Bhaskara"
221,Accounting for Demographic Differentials in Error rate Assessment of Automated Latent Prints Matching via Covariate-Specific ROC Regression,S1,Emanuela Marasco,"Marasco, Emanuela*; He, Mengling; Tang, Larry; Sriram, Sumanth"
227,Learning to Prune Faster,S9,Manoj Rohit Vemparala,"Vemparala, Manoj Rohit*; Fasfous, Nael; Frickenstein, Alexander; Moraly, Mhd Ali; Jamal, Aquib; Frickenstein, Lukas; Unger, Christian; Nagaraja, Naveen Shankar; STECHELE, WALTER"
228,Efficient Ensemble Sparse Convolutional Neural Networks with Dynamic Batch Size,S9,GUARAV GUPTA,"Zheng, Shen; Wang, Liwei; GUPTA, GUARAV*"
229,Inferring Semantic Object Affordances from Videos,S9,Rupam Bhattacharyya,"Bhattacharyya, Rupam*; Bhuyan, Zubin; Hazarika, Shyamanta"
234,A semi-supervised Generative Adversarial Network for Retinal Analysis from Fundus images,S8,Jidesh Padikkal,"Padikkal, Jidesh *; A, Smitha"
235,An Unsupervised Approach for Estimating Depth of Outdoor Scenes from Monocular Image,S9,H Pallab J Dutta,"Dutta, H Pallab J*; Bhuyan, M K; Mitra, Shankhanil"
237,One Shot Learning Based Human Tracking in Multiple Surveillance Cameras,S3,md meraz,"meraz, md*; Javed, Dr. Mohammed; prakash, arul"
